id	qid1	sentence1	qid2	sentence2	label
35	225181	0/1/2/3/4/5/6/7/8/9/10/11/12/(438553,9)/(247393,6)/14/(440102,0)/(486783,5)/16/17/18/19/20	225181	0/1/2/3/4/5/8/7/8/9/10/11/12/(298006,6)/(9218,35)/14/(417949,7)/(186350,9)/16/17/18/19/20	1
36	119691	0/1/2/3/4/5/6/7/8/9/4/11/12	119691	0/1/2/3/10/(497999,7)/(423795,9)/8/6/7/9/4/11/12	1
37	177363	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20/21/22/23/24	177363	0/1/2/3/5/6/7/18/9/10/11/12/13/14/15/16/17/8/19/20/21/22/23/24	0
38	312646	0/8/19/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/2/20/21/22/23/24/25	312646	0/8/7/9/4/5/6/19/8/3/10/11/19/13/14/15/16/17/18/7/20/21/22/23/24/25	0
39	481879	0/1/2/3/4/5/6/7/8/9/10/11	481879	0/7/2/3/4/5/6/1/8/9/10/11	0
40	176217	0/1/2/3/21/22/23/24/8/9/10/11/12/13/14/15/16/17/18/19/13/4/22/6/24/25	176217	0/1/2/3/21/5/6/24/8/9/10/11/12/20/14/15/16/17/23/19/20/21/22/23/7/25	0
41	338508	0/1/2/3/4/9/6/7/4/5/10/11/12/13/14	338508	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14	1
42	137493	0/15/2/3/4/5/6/7/8/9/10/22/12/13/4/20/16/17/21/22/23/19/20/18/24/25/26/27	137493	0/20/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/15/21/11/23/24/25/26/27	0
43	315110	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17	315110	0/1/2/3/12/5/6/7/8/9/10/11/4/13/14/15/16/17	0
44	388869	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19	388869	0/1/2/3/4/8/9/10/7/5/6/11/12/13/14/15/16/17/18/19	0
45	274143	0/7/2/3/4/5/6/7/8/(377581,8):(54247,30):(449706,3)/(123796,11)/10/(172261,9):(295650,9)/12/13/(67090,36)/14	274143	0/1/2/3/4/5/6/7/8/9/10/11/12/13/6	1
46	87922	16/34/35/36/37/24/25/40/44/42/5/41/25/46	87922	16/34/35/8/37/24/25/40/41/42/43/44/45/32	0
47	438462	0/7/2/3/6/5/6/1/8/9/10/14/12/13/11/15	438462	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15	0
48	357154	0/1/2/3/4/5/6/7/8/9/20/11/12/13/14/15/16/17/18/19/10/21	357154	0/1/17/3/4/5/6/7/8/19/10/11/12/13/14/15/16/17/18/9/20/21	0
49	511889	0/1/5/3/4/5/6/9/8/7/10/11/12/13/14	511889	0/1/5/3/4/2/6/7/8/9/10/11/12/13/14	0
50	167560	13/14/3/17/5/6/7/8/9/10/11/12/(130012,10)/2/15/16/4/5/19/20/21/22/23/24/25/26/27/28/29	167560	0/(192093,14):(387473,10):(476835,6)/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/5/19/20/21/22/23/24/25/26/27/28/29	0
51	119170	0/1/6/7/4/5/2/3/8	119170	0/1/2/3/4/5/6/7/8	0
52	357242	0/1/2/3/4/5/6/7/8	357242	0/1/6/3/4/5/2/7/8	0
53	220842	0/9/2/16/4/5/6/7/8/1/10/11/12/19/14/15/3/17/18/16/20/21/22	220842	0/1/2/3/4/5/6/7/8/9/10/11/12/16/14/15/3/17/18/3/20/21/22	0
54	159087	0/1/2/3/4/10/6/7/8/9/10/11/12/13/14	159087	0/1/2/3/4/10/6/7/8/9/5/13/12/11/14	1
55	340969	0/1/12/15/4/12/6/27/2/9/10/11/2/13/14/15/16/17/18/19/20/21/22/23/8/25/26/27	340969	0/1/24/15/4/2/9/7/24/9/10/11/2/13/14/18/16/17/3/19/20/21/22/1/24/25/26/7	0
56	354765	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16	354765	0/1/2/3/6/5/4/7/8/9/10/11/12/13/14/15/16	0
57	42589	0/4/2/3/1/5/6/7/8/9/10/11/12/13/14/15/16/12/18/19	42589	0/1/2/3/4/19/6/7/8/9/10/11/17/13/14/15/16/17/18/5	0
58	96872	0/1/2/8/4/10/6/7/8/9/5/11	96872	0/1/7/3/9/10/6/2/3/4/5/11	0
59	496615	0/1/2/3/17/8/18/7/21/9/23/11/12/13/14/15/16/4/18/19/20/5/22/23	496615	0/1/2/3/17/5/18/7/8/9/10/11/12/1/14/15/16/4/18/19/20/21/22/23	0
60	402588	0/1/2/3/4/5/6/7/11/9/10/8/12/13/14/15	402588	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15	1
61	223738	0/1/2/6/4/5/3/7/8/9/10/11/12/13/14/15/9	223738	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/9	0
62	373740	9/1/2/3/4/5/6/7/8/0/10/11/12/13/14/15/16/17/18	373740	9/1/2/3/4/12/6/7/8/0/10/11/5/13/14/15/16/17/18	1
63	243407	0/1/6/3/4/5/2/7/8/9/10/11/12/13	243407	0/1/2/3/4/5/6/7/8/9/10/11/12/13	0
64	334949	0/4/5/3/1/2/6	334949	0/1/2/3/4/5/6	0
65	23828	8/1/2/3/4/5/6/16/17/18/10/11/12/13/22/15/7/8/9/19/11/21/22	23828	0/1/2/3/4/5/6/7/17/9/10/11/12/13/22/15/16/0/18/19/20/21/14	0
66	358657	0/1/2/3/4/20/21/7/8/9/10/11/12/13/14/15/16/17/18/19/5/21/22	358657	0/1/2/12/4/5/6/7/8/9/10/11/3/13/14/15/16/17/18/19/5/6/22	0
67	397166	0/1/4/3/2/5/6	397166	0/1/2/3/4/5/6	0
68	267061	0/1/2/3/4/5/6/14/8/(236905,7)/9/10/11/12/13/7/15/16/17/18/19/20	267061	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/3/19/20	1
69	478052	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16	478052	0/1/2/3/4/5/14/7/8/9/10/11/12/13/6/1/16	0
70	67877	0/10/2/12/4/5/6/7/13/9/10/11/12/8/14	67877	0/10/2/12/4/5/6/7/8/9/10/11/12/13/14	0
71	485159	0/1/2/3/4/8/6/7/8/9/10/11	485159	0/1/2/3/10/8/6/7/5/9/4/11	0
72	322781	0/1/2/3/4/5/6/7/8/9/10/11/12/13	322781	0/1/2/3/4/5/11/12/8/9/10/6/7/13	0
73	24763	0/15/2/17/18/19/6/7/8/9/10/11/12/13/0/15/16/3/4/19/20/21/22/13	24763	14/1/16/17/4/5/6/7/8/9/10/11/12/23/0/1/2/3/4/5/20/21/22/23	0
74	168523	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14	168523	0/1/2/3/4/8/6/7/5/9/10/4/12/13/14	0
75	54434	10/11/12/13/4/5/15/7/8/18/0/11/12/3/14/15/16/8/9	54434	10/1/2/3/4/5/15/16/17/9/0/1/12/13/14/15/7/17/9	0
76	69423	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16	69423	0/1/2/3/4/5/11/7/8/9/10/6/12/13/14/15/16	0
77	497919	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15	497919	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15	1
78	335353	0/1/2/3/4/5/6/7/8	335353	0/6/2/5/4/3/1/7/8	0
79	276183	0/1/2/3/4/5/6/10/8/6/7/11	276183	0/1/2/3/4/5/9/7/8/6/10/11	1
80	249616	0/1/2/3/4/5/6/7/8/9	249616	0/1/7/3/4/5/6/2/8/9	0
81	30024	0/1/2/3/4/17/6/7/8/9/10/11/12/13/14/18/16/14/18/19/14/21/22/23/24/25/26/27	30024	0/1/2/3/4/5/6/7/8/9/10/25/12/13/20/18/16/14/18/19/5/21/10/23/8/11/26/27	0
82	134419	0/1/2/3/4/5/6/10/8/9/7/11	134419	0/1/2/3/4/5/6/7/8/9/10/11	0
83	291808	0/17/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20/21/22	291808	0/17/2/3/4/5/6/7/8/9/13/11/12/10/14/15/16/1/18/19/20/21/22	0
84	377181	0/1/2/3/16/5/12/13/14/9/10/11/12/13/8/15/16/17/18/19/20/26/22/23/24/25/21	377181	0/1/2/3/4/5/12/7/8/9/10/11/6/13/14/9/16/17/18/19/20/21/22/23/24/25/26	0
85	501075	0/6/7/3/4/5/1/2/8/9/10/11/12/13/14/15/16/17	501075	0/1/2/3/4/5/6/7/8/9/11/10/12/13/14/15/16/17	0
86	47995	0/1/16/3/4/5/6/7/8/9/10/11/12/13/22/15/2/17/18/19/20/21/14/23/24/25	47995	0/1/2/17/18/5/6/7/8/23/10/11/12/13/22/15/16/3/18/19/20/21/22/23/24/12	0
87	120479	0/1/2/3/4/5/6/7/8/9/10/11/12	120479	0/1/2/3/4/5/10/7/8/9/6/11/12	0
88	166627	0/1/2/3/4/5/6/11/8/9/10/11/12/13	166627	0/1/2/3/4/9/10/7/8/9/6/7/12/13	1
89	471316	0/1/(253697,24):(533425,11)/3/4/5/6/7/(361393,1)/9	471316	0/11/2/3/4/5/6/18/8/9	0
90	530442	0/1/2/3/4/5/6/7/11/9/10/11/12/13/14	530442	0/1/2/6/4/5/3/7/8/9/10/11/12/13/14	0
91	103286	0/1/2/3/4/5/6/7	103286	0/4/2/3/1/5/6/7	0
92	150095	0/4/8/3/1/8/6/7/8/9/10/11	150095	0/1/8/3/4/8/6/7/8/9/10/9	1
93	390199	0/1/10/7/4/5/6/3/8/9/2/11/12/13/14/15	390199	0/1/10/3/4/5/6/7/8/9/2/11/12/13/14/15	0
94	234951	0/1/2/3/4/5/6/7/8/9/1/11/12/13/14/18/19/17/15/19/20/21/22/23/24	234951	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/19/17/18/16/20/21/22/23/24	1
95	220424	0/1/2/3/4/5/6/7/8/9/10/11	220424	0/1/10/3/4/5/6/7/8/9/2/11	0
96	36894	0/1/2/6/4/5/3/7	36894	0/1/2/3/4/5/6/7	0
97	361656	0/1/2/7/4/5/6/3/8/9	361656	0/1/2/3/4/5/6/7/8/9	0
98	130632	0/1/2/3/4/5/6/7/8/9/10/11/12/13	130632	0/1/2/10/4/5/6/7/8/9/3/11/12/13	0
99	232278	0/1/2/3/4/16/6/7/19/20/21/9/10/11/12/13/14/15/5/17/18/8/22	232278	0/1/2/3/4/16/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20/21/22	0
100	400531	0/1/2/3/4/5/6/7/8/16/10/11/12/13/14/15/16/10/18/19/20	400531	0/1/2/3/4/5/13/11/9/10/7/15/12/6/14/8/16/10/18/19/20	0
101	461368	0/1/2/3/8/5/6/7/4/9/10/11	461368	0/1/6/3/4/5/2/7/4/9/10/11	1
102	4589	0/6/2/3/4/5/1/7/8/9/10/11/12/13/14/15	4589	0/1/2/3/4/5/1/7/12/9/10/11/8/13/14/15	0
103	531492	0/1/2/3/4/5/6/7/8/9/10/11	531492	0/1/2/3/4/9/6/7/8/5/10/11	0
104	21099	0/1/2/3/4/5/9/10/7/8/6/10/11	21099	0/1/2/3/4/8/6/10/7/5/6/10/11	1
105	137668	0/16/2/3/4/5/6/12/8/9/10/11/7/13/14/15/16/17/18/4/6/7	137668	0/1/2/19/5/20/7/8/9/10/11/21/13/14/15/1/17/18/3/4/6/21	0
106	410981	0/1/2/3/4/5/6/7/8/9/10/11/12/5/14/15/16/17/18/19/20/21/22/23/24/25/26	410981	0/1/2/21/17/13/14/7/8/9/10/11/12/5/6/15/16/4/18/19/20/21/22/23/24/25/26	0
107	508179	0/1/2/10/8/5/6/13/20/17/10/11/12/13/14/15/16/17/18/19/4/21/22	508179	0/1/2/10/4/5/6/7/8/9/3/11/12/13/14/15/16/17/18/19/20/21/22	0
108	3743	0/1/2/3/4/11/6/7/8/9/10/5/12/13/14	3743	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14	0
109	73176	4/1/2/(277448,19)/(3407,0)/4/11/6/7/14/(504877,17)/(200658,0)/4/5/12/13/8/15/16/17	73176	0/1/2/3/10/5/6/13/8/3/10/11/12/7/14/15/16/17	0
110	159468	0/1/14/3/13/5/6/7/8/12/10/11/15/13/2/15/16/17/18/19/20/21	159468	0/1/2/3/4/5/6/7/8/12/10/11/12/13/14/12/16/17/18/19/20/21	1
111	267277	0/1/2/3/4/5/6/7/8/9	267277	0/1/2/3/4/5/8/7/6/9	0
112	523065	0/1/2/3/4/2/6/7/8/9/10	523065	0/1/5/3/4/2/6/7/8/9/10	1
113	76228	0/1/2/3/9/5/6/7/8/4/10	76228	0/1/7/3/4/5/6/7/8/9/10	0
114	338803	18/1/2/3/4/5/0/7/8/9/10/11/12/13/14/15/16/17/6/19/20	338803	0/1/2/3/4/5/0/7/8/9/10/11/12/13/14/15/16/17/18/19/20	1
115	463468	10/1/2/12/4/5/15/7/12/9/10/11/17/13/14/15/7/3/18/9	463468	10/1/2/17/4/14/15/7/8/9/0/11/8/13/5/15/16/3/18/19	0
116	338069	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14	338069	0/11/12/13/3/4/5/6/7/8/9/10/1/2/14	0
117	14424	0/1/26/27/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20/21/22/23/24/25/2/21/29/30	14424	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/1/20/28/22/23/24/10/26/27/21/29/30	0
118	179514	0/1/7/8/4/5/6/2/8/9/10/11	179514	0/1/2/3/4/5/6/7/3/9/10/11	0
119	514487	0/1/2/3/4/5	514487	0/4/2/3/1/5	0
120	43418	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18	43418	0/1/2/3/4/5/6/12/8/9/10/11/7/13/14/15/16/17/18	0
121	103197	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15	103197	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15	1
122	311554	0/1/6/3/4/5/2/7	311554	0/1/2/3/4/5/6/7	0
123	318653	0/1/2/3/4/5/6/7/8/9	318653	0/1/2/7/4/5/6/3/8/9	0
124	484342	0/8/2/3/4/5/17/7/1/9/10/11/12/13/14/15/16/17/7	484342	0/1/2/3/4/5/17/7/8/9/10/11/12/13/14/15/16/17/18	1
125	48792	0/1/2/6/4/5/3/7	48792	0/1/5/6/4/2/3/7	1
126	309045	0/1/2/3/4/5/12/7/8/9/10/11/6/13/14	309045	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14	0
127	347764	0/8/12/3/4/5/6/7/11/9/10/1/2/13/14	347764	0/11/2/3/4/5/6/7/8/9/10/1/12/13/14	0
128	371164	0/1/2/3/4/5/6/7/8/9/2/11/1/13/14	371164	0/1/10/3/4/5/6/7/8/1/2/11/9/13/14	0
129	519568	0/1/2/3/8/5/6/7/4/9/10/11	519568	0/1/2/3/4/5/6/7/8/9/10/11	0
130	398623	0/1/2/3/4/5/6/16/17/8/9/10/18/12/4/14/8/7/18/19/20	398623	0/1/2/3/4/5/6/7/15/9/10/11/12/4/14/15/16/17/11/12/20	0
131	276647	0/1/2/3/4/5/6/7/8/9/10	276647	0/1/2/3/4/5/9/7/8/6/10	0
132	39142	0/1/2/3/4/5/6/7/8/9/10	39142	0/1/2/3/4/8/9/7/5/9/10	1
133	110066	0/1/2/3/4/5/6/7/8/9/6/11/14/7/12/15	110066	0/1/2/3/4/5/6/0/8/9/6/11/12/0/12/15	1
134	297927	5/1/2/3/4/0/(290252,7)/18/(534873,13)/(184692,5)/9/10/11/12/13/14/25/23/(412227,1)/7/19/20/9/22/0/24/15	297927	16/1/2/3/4/16/17/7/(424141,11)/(184692,5)/21/10/11/12/13/14/15/13/6/18/19/20/9/22/16/24/15	1
135	314106	0/1/23/3/4/26/6/7/8/9/10/11/12/13/14/1/16/17/18/19/20/21/22/23/24/25/5/27/28/29	314106	12/1/23/3/4/5/27/7/8/9/10/11/0/13/14/1/16/17/18/19/20/21/22/23/24/25/5/6/28/29	1
136	377285	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/25/16/17/18/19/20/21/22/23/24/15/26/27	377285	0/1/2/20/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/3/21/22/23/24/15/26/27	0
137	43370	0/1/2/3/4/5/6/7/8/9/10/11/12/13	43370	16/1/2/3/4/5/6/7/11/9/10/8/12/13	1
138	441592	0/1/2/3/4/5/6/7/8	441592	0/1/2/3/4/5/6/7/8	1
139	251797	0/1/2/3/4/5/6/7/8/9/10/11/12/13	251797	0/1/7/3/4/5/6/2/8/9/10/11/12/13	0
140	318827	0/18/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20/21/22/23/24	318827	0/18/2/3/4/5/6/7/15/9/10/11/12/13/14/15/16/17/1/23/20/21/22/19/24	1
141	15965	0/1/2/3/4/5/6/7/8	15965	0/6/7/3/4/5/1/2/8	0
142	453574	0/1/4/3/2/5/6	453574	0/1/2/3/4/5/6	0
143	75433	0/1/17/3/4/5/6/7/8/9/10/11/12/13/14/2/16/15/18/19	75433	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19	0
144	506407	7/0/1/2/3/4/5/6/7/8/9/10/7/12/13/14/15/16/17/18/19/20/21/11	506407	0/1/2/3/4/5/6/8/9/10/12/13/14/15/16/17/18/15/20/21	1
145	72300	0/1/2/13/14/5/6/7/8/9/10/11/12/3/4/15	72300	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15	0
146	395991	0/1/6/3/4/5/2/7/8/9/10	395991	0/1/2/3/4/5/6/7/8/9/10	1
147	46533	9/0/1/5/3/4/19/6/7/8/9/10/9/12/13/14/15/16/17/18/2/20/21/12/11	46533	0/1/19/3/4/19/20/7/(436384,8):(112299,14)/22/13/14/15/16/17/18/5/6/21/22	0
148	391608	25/1/8/3/4/5/6/7/8/11/10/9/12/13/14/15/16/17/18/19/20/15/22/23/24/0/26/27	391608	0/1/2/3/4/5/6/7/2/9/10/11/12/13/14/15/16/17/18/19/20/21/22/23/24/0/26/27	1
149	420646	0/1/2/3/4/5/6/7/8/9/10/11/12/13	420646	0/1/12/3/4/5/6/7/8/9/10/11/2/13	0
150	312336	0/1/2/3/4/5/6/7/8/9/10/11/12	3328	52/53/40/(409148,19):(483553,5):(456335,38):(129644,14):(308624,20)/58/44/(32918,14)/46/47/(414025,26)/32/14/(229512,2)/(10270,12):(354409,8):(131129,4):(51853,2)/6/34	0
151	373555	0/1/2/12/4/5/6/7/8/9/10/11/3/13	373555	0/1/2/3/4/5/6/7/8/9/10/11/12/13	0
152	423930	0/1/7/20/(235231,3):(29640,4):(442414,9):(80840,4):(247920,6):(422374,8)/7/8/9/10/11/12/13/14/15/3/17/18/19/16/21/22	423930	0/1/2/3/(235231,3):(482437,3):(450687,7):(245484,15):(247920,6):(47123,5)/2/8/9/10/11/12/13/14/15/16/17/18/19/20/21/22	0
153	402031	0/1/4/16/2/5/6/7/8/9/10/6/12/13/14/15/3/17	402031	0/1/2/3/4/5/11/7/8/9/10/6/12/13/14/15/16/17	0
154	57739	0/1/2/3/4/5/6/7/8/9/10/11	57739	0/1/2/3/9/10/6/7/8/4/5/11	0
155	232283	0/1/2/3/0/5/6/7/8/9/10/11/12/13	232283	0/1/7/3/0/5/6/2/8/9/10/11/12/13	0
156	101374	23/0/1/2/3/4/5/6/17/8/9/10/11/12/13/14/15/16/17/(27652,18)/19/20/21/22/23/24/23	101374	0/1/9/10/4/5/6/17/8/2/3/11/12/13/14/15/16/17/19/20/21/22/24	0
157	238929	0/1/2/3/4/5/6/7/8/9/10/11/12	238929	0/1/2/3/4/5/10/6/8/9/7/11/12	0
158	513711	0/1/2/3/4/5/6/7/8/9/10/11/12	513711	0/1/2/5/4/3/6/7/8/9/10/11/12	0
159	370955	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19	370955	0/1/2/3/4/5/6/7/8/9/10/18/12/13/14/15/16/17/11/19	0
160	206966	0/18/2/22/4/5/6/7/8/9/10/18/12/13/14/15/16/17/18/19/20/21/3/23/24	206966	0/18/2/22/12/5/6/8/7/9/10/11/4/13/14/15/16/9/17/1/19/20/21/22/23/24	0
161	263591	0/1/2/3/4/5/6/7/8	263591	0/5/6/3/4/5/2/7/8	0
162	265939	0/1/2/15/24/5/6/7/8/9/10/11/12/13/14/3/26/17/18/19/20/21/22/23/4/25/16/27	265939	0/1/2/15/24/5/6/7/8/9/10/11/12/13/14/3/16/17/18/19/20/21/22/23/4/25/26/27	0
163	361097	0/1/2/3/4/5/8/7/6/9/10/11/12/13/14/15/16/17	361097	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17	0
164	507215	0/1/2/3/4/5/6/7/8	507215	0/1/2/3/6/5/4/7/8	0
165	432708	0/1/2/3/4/5/6/7/8/9/10	432708	0/1/2/3/4/5/6/7/8/9/10	1
166	52657	0/1/18/10/5/6/7/8/9/3/4/11/24/13/14/15/16/17/18/19/20/21/22/23/24	52657	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/2/19/20/21/22/23/12	0
167	116903	0/1/2/3/4/5/6/7/8/9/14/11/14/13/10/15/16/17/18/19/20/21/22/23/24/25/26	116903	0/1/2/3/4/5/6/7/8/9/10/15/16/14/13/14/11/17/18/19/20/21/22/23/24/25/26	1
168	21087	0/1/10/11/12/13/14/8/9/7/3/4/13/2/15	21087	0/1/2/11/4/13/10/8/9/7/11/12/13/14/15	0
169	138086	13/14/15/16/17/18/19/20/21/22/23/10/25/26/27/28/29	138086	13/14/15/16/27/18/19/20/21/22/23/10/25/32/17/28/29	0
170	449394	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17	449394	0/1/2/7/4/5/6/3/8/9/10/11/12/13/14/15/16/17	0
171	337727	0/1/2/3/4/5/6/7/8/9	337727	0/1/2/3/4/8/6/7/5/9	0
172	286821	0/1/13/3/4/5/6/9/8/7/10/11/12/13/14/15	286821	0/1/2/3/4/4/11/7/6/10/8/12/13/14/15	1
173	281109	0/15/16/3/4/5/6/7/8/9/10/11/12/13/14/1/2/17	281109	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17	0
