,answer1,answer2,label,sas,f1,berttrained,bertvanilla,bi_encoder,bleu,rouge_L,meteor,0_bert_score_prime,1_bert_score_prime,2_bert_score_prime,3_bert_score_prime,4_bert_score_prime,5_bert_score_prime,6_bert_score_prime,7_bert_score_prime,8_bert_score_prime,9_bert_score_prime,10_bert_score_prime,11_bert_score_prime,0_bert_score,1_bert_score,2_bert_score,3_bert_score,4_bert_score,5_bert_score,6_bert_score,7_bert_score,8_bert_score,9_bert_score,10_bert_score,11_bert_score,12_bert_score_prime,12_bert_score
36,varied,natural ecosystem,0.0,0.0105456607416272,0.0,0.1200627759099006,0.3320408761501312,0.1378834843635559,0.0,0.0,0.0,0.06863814,0.12266489,0.17695941,0.19639489,0.22980896,0.18133831,0.15226983,0.18527202,0.1787954,0.19685109,0.16157202,0.22473748,0.10769827,0.16747348,0.33204082,0.36082593,0.3882924,0.4520723,0.45410687,0.43322375,0.46639577,0.44223192,0.45470494,0.50506145,0.12006279,0.31829315
37,1.3 million,San Diego,0.0,0.0094673801213502,0.0,0.0488589741289615,0.1990997642278671,0.0427983924746513,0.0,0.0,0.0,0.026575461,0.05510462,0.105541274,0.1098103,0.089875564,0.09108916,0.0903176,0.10872972,0.099857345,0.12086345,0.10258321,0.13375771,0.13256288,0.1682598,0.19909985,0.22110963,0.249766,0.2644968,0.2672326,0.25395584,0.2849285,0.29753497,0.28525278,0.3329307,0.048859004,0.36685792
38,Los Angeles Area,major business,0.0,0.0146323470398783,0.0,0.1906182914972305,0.2523134350776672,0.2257143259048462,0.0,0.0,0.0,0.08761557,0.13568194,0.1852998,0.23131844,0.19109364,0.18355572,0.2202334,0.25720462,0.24310829,0.24271345,0.2000501,0.2615366,0.12483835,0.18669873,0.25231346,0.2888784,0.29405615,0.32411087,0.32289258,0.30680898,0.3335719,0.34366125,0.3429615,0.38594046,0.19061834,0.43081167
39,Riverside,Downtown Riverside,1.0,0.7238016724586487,0.6666666666666666,0.7175757884979248,0.7071284055709839,0.7199459075927734,0.0,0.6666666666666666,0.2631578947368421,0.8077476,0.8077127,0.80649745,0.7922447,0.77505565,0.7604586,0.74573416,0.735665,0.7194913,0.7095103,0.7095015,0.7345011,0.71851045,0.70933324,0.7071285,0.7223185,0.696046,0.6777686,0.6662168,0.6415255,0.6438234,0.6311285,0.6367978,0.65729356,0.71757597,0.63740355
40,Hospitality Business/Financial Centre,Downtown Riverside,0.0,0.009409531019628,0.0,0.1284420937299728,0.2846453189849853,0.1103256046772003,0.0,0.0,0.0,0.122154556,0.17459801,0.21272421,0.2368812,0.22094442,0.23325054,0.25047004,0.27121523,0.28916454,0.28795674,0.2836018,0.32016438,0.15529603,0.21987724,0.28464526,0.3137395,0.34261897,0.39448205,0.40043482,0.3802146,0.36945575,0.3586366,0.40981793,0.44822192,0.1284421,0.37058327
41,Port of San Diego,Port of Long Beach,0.0,0.1242898181080818,0.5,0.5204946994781494,0.6262922286987305,0.5136827230453491,0.0,0.5,0.46875,0.6118475,0.6239132,0.6507164,0.659383,0.6776135,0.68042225,0.67612475,0.6740718,0.6630899,0.6519315,0.64127415,0.6355215,0.5922099,0.6062209,0.6262922,0.6530118,0.6897863,0.7198224,0.7329415,0.74592924,0.75872564,0.78018636,0.77050495,0.7478525,0.5204947,0.7425466
42,NFL,Professional,0.0,0.0103581519797444,0.0,0.3212468028068542,0.3911600708961487,0.3648402988910675,0.0,0.0,0.0,0.16265143,0.20424192,0.2516088,0.26948026,0.2379519,0.22680813,0.23312587,0.25364727,0.2117292,0.2295521,0.25737926,0.31084052,0.23629715,0.2832485,0.3911601,0.4672762,0.50045276,0.5464319,0.52020156,0.49176103,0.4933318,0.49338186,0.52820665,0.5389508,0.3212468,0.42743206
43,Chivas USA,Chivas,2.0,0.8015461564064026,0.6666666666666666,0.8119024634361267,0.8426108956336975,0.7864738702774048,0.0,0.6666666666666666,0.4545454545454545,0.8154193,0.8176866,0.8307049,0.80864644,0.78708994,0.7789908,0.7786116,0.787612,0.799353,0.79579073,0.7899372,0.8084133,0.8297814,0.83231986,0.84261084,0.8175935,0.8007347,0.7888337,0.7777599,0.7660906,0.7614679,0.7364371,0.72023773,0.71722496,0.81190276,0.6655426
44,Sky plc,British Sky Broadcasting Group plc,2.0,0.8338932394981384,0.5714285714285715,0.7416216731071472,0.6667131781578064,0.7473927140235901,0.0,0.5714285714285715,0.2127659574468085,0.60869366,0.60106015,0.5998007,0.6243822,0.6336615,0.6478347,0.653552,0.6735622,0.68243,0.69057953,0.6846181,0.72174734,0.62700045,0.67808384,0.66671324,0.6521856,0.6590618,0.67294836,0.66904604,0.6730202,0.6726819,0.6797366,0.70578474,0.7142514,0.7416217,0.6683634
45,£1.3bn,£4.2bn,0.0,0.2725315093994141,0.0,0.4392432272434234,0.8366643786430359,0.401099145412445,0.0,0.0,0.0,0.89188725,0.90502685,0.89727247,0.88936305,0.88673574,0.8821622,0.882343,0.8825037,0.87861514,0.84758794,0.8331058,0.7374429,0.7911339,0.82264453,0.83666456,0.83441865,0.84676707,0.8630816,0.8691307,0.86937666,0.88719195,0.8894306,0.8898643,0.83945715,0.43924308,0.83167166
46,Freeview,ITV Digital,0.0,0.2461662143468857,0.0,0.229643240571022,0.2284156829118729,0.2700713574886322,0.0,0.0,0.0,0.14072338,0.17230923,0.1801166,0.2010881,0.19493859,0.20518692,0.2309937,0.24860342,0.25209135,0.2534331,0.25339636,0.33518106,0.14441273,0.16142204,0.2284157,0.28641057,0.34944615,0.40591705,0.4170746,0.40428394,0.43152738,0.4506983,0.4431425,0.4337169,0.22964324,0.41934404
47,September 2007,March 2008,0.0,0.1324147880077362,0.0,0.3269927203655243,0.7662550210952759,0.3321145474910736,0.0,0.0,0.0,0.5280749,0.64061224,0.6792282,0.6924565,0.7068596,0.73820055,0.7626918,0.73561907,0.68941355,0.6299698,0.5237021,0.4926979,0.73523986,0.7797397,0.7662549,0.77609456,0.8178056,0.8567481,0.86639726,0.8602518,0.8723674,0.87173784,0.8658787,0.81700724,0.3269927,0.61272573
48,monthly fee,SkyHD box,0.0,0.0091748740524053,0.0,0.051589235663414,0.2396773099899292,0.0619867891073226,0.0,0.0,0.0,0.08542653,0.1387105,0.16783525,0.20101957,0.17562431,0.18438943,0.19908243,0.22374478,0.21369451,0.17731977,0.13767642,0.20042275,0.123843364,0.14396012,0.23967725,0.28075877,0.33775407,0.35652414,0.3734574,0.38965878,0.41112602,0.43601978,0.42470828,0.45603597,0.05158927,0.34777352
49,January 2010,February 2011,0.0,0.0977654382586479,0.0,0.6655352115631104,0.8139806389808655,0.7142060995101929,0.0,0.0,0.0,0.70242393,0.7669885,0.76737237,0.7777772,0.80039346,0.8357937,0.84779525,0.83108824,0.79800785,0.7607293,0.69180524,0.7086731,0.807425,0.8182626,0.8139806,0.8306526,0.85627973,0.87018955,0.8856447,0.8789729,0.88270295,0.8886221,0.9004191,0.8738241,0.66553545,0.7176935
50,Sky+,PVR,0.0,0.0093427868559956,0.0,0.2048269063234329,0.2677325904369354,0.2143553048372268,0.0,0.0,0.0,0.12374517,0.13496596,0.15636748,0.16534491,0.1872647,0.22058548,0.2130927,0.2533596,0.26356363,0.2829675,0.25774682,0.33347356,0.13711166,0.20440888,0.2677326,0.30234146,0.31185204,0.31008402,0.34944695,0.37698475,0.42626196,0.42831314,0.3830369,0.39456844,0.20482686,0.4030097
51,BSkyB,British Sky Broadcasting,2.0,0.6502225399017334,0.0,0.6268445253372192,0.234525129199028,0.6533950567245483,0.0,0.0,0.0,0.28508183,0.33721888,0.35775527,0.39365095,0.3946793,0.41566217,0.44261107,0.46871185,0.47728074,0.49991867,0.52130646,0.5848558,0.15287104,0.17151958,0.23452516,0.25487593,0.28508744,0.33926088,0.35941747,0.38599724,0.41208076,0.4415336,0.46007407,0.455134,0.6268447,0.4425016
52,DVB-S2,DVB-compliant MPEG-2,0.0,0.6268500089645386,0.0,0.7966340780258179,0.7100546360015869,0.8225463628768921,0.0,0.3333333333333333,0.0,0.50927055,0.53082645,0.53978395,0.5556051,0.57098943,0.59378374,0.62362975,0.649846,0.68831456,0.7107412,0.719509,0.7590955,0.6449786,0.68882316,0.71005476,0.7060541,0.7078441,0.7273595,0.72671413,0.73674816,0.7457919,0.73843575,0.7497708,0.75956804,0.7966341,0.73557705
53,Thomson,STB,0.0,0.0102662518620491,0.0,0.2633627951145172,0.272227793931961,0.3097308278083801,0.0,0.0,0.0,0.024883702,0.0602055,0.10691416,0.10836582,0.11199403,0.10287142,0.11354166,0.14111966,0.16002181,0.171297,0.16227464,0.2984865,0.13602255,0.17841664,0.27222776,0.3060136,0.3253761,0.3367447,0.3492629,0.3478972,0.37910187,0.43274385,0.43962225,0.47599483,0.2633627,0.5372596
54,free-to-view,free-to-air,1.0,0.8764256238937378,0.0,0.6558387875556946,0.8364425897598267,0.6389004588127136,0.0,0.6666666666666666,0.0,0.8346238,0.8365163,0.83351994,0.8342247,0.8321245,0.8352749,0.8187343,0.81161803,0.79752994,0.7978919,0.7825107,0.73288494,0.8386118,0.82560605,0.8364426,0.8457796,0.86486405,0.87135255,0.87244594,0.87020504,0.8638363,0.8290393,0.7476565,0.7103554,0.6558388,0.7346023
55,Ku band,9.75/10.600 GHz,0.0,0.0660848319530487,0.0,0.1687788963317871,0.2290479838848114,0.1079657897353172,0.0,0.0,0.0,0.06650654,0.08921556,0.08120152,0.09295991,0.08815258,0.10556988,0.11280582,0.17344522,0.17011817,0.18551753,0.16971743,0.28409547,0.18532401,0.20430163,0.22904801,0.24213915,0.25970733,0.26743376,0.29501456,0.29527003,0.28652254,0.29022658,0.3172538,0.38266805,0.16877887,0.30739307
56,no,Third-party channels,0.0,0.0251762457191944,0.0,0.1479901671409607,0.2864935994148254,0.1354603469371795,0.0,0.0,0.0,0.06758878,0.08818484,0.13364264,0.15197709,0.12884533,0.11214262,0.13779514,0.18663988,0.2013677,0.21407488,0.16931975,0.22714432,0.1737091,0.20349805,0.28649357,0.29978216,0.32424286,0.3432594,0.35371104,0.30520284,0.2969634,0.2591687,0.28399676,0.34352165,0.14799012,0.29537556
57,Sky Active,Open,0.0,0.0097384862601757,0.0,0.2024894952774047,0.339250236749649,0.2306451797485352,0.0,0.0,0.0,0.18590404,0.2095971,0.24045558,0.27445048,0.29897174,0.25523594,0.26705277,0.26539224,0.2750596,0.28114894,0.2487539,0.29477084,0.18116002,0.23533085,0.33925015,0.40292853,0.41636902,0.43051618,0.4420786,0.4348917,0.46078867,0.4825892,0.4790236,0.5655809,0.2024895,0.47854343
