answer1,answer2,label
the governor,the Army National Guard,0.0
the governor,state or territorial governor,1.0
the governor,the state adjutant general,1.0
the governor,adjutant general,1.0
the governor,the President,1.0
Hermes,Perseus,0.0
Hermes,pele,0.0
Hermes,Lou,0.0
Hermes,Agenor,0.0
Lucas Jade Zumann,Jonathan Crombie,0.0
Lucas Jade Zumann,James,0.0
Lucas Jade Zumann,Miranda de Pencier,0.0
Amos 'n Andy,good times,0.0
Amos 'n Andy,Generations,0.0
Amos 'n Andy,Harris and Company,0.0
Amos 'n Andy,The Jeffersons,0.0
Amos 'n Andy,the cosby show,0.0
Amos 'n Andy,ABC,0.0
Amos 'n Andy,The Partridge Family,0.0
1969,as early as 1849,0.0
1969,since the 1990s,1.0
1969,the 1980s,1.0
1969,"january 1, 1983",1.0
1969,1960s,1.0
1969,1979,1.0
5th century,c. 400 BCE,0.0
5th century,132 bce,0.0
5th century,the second century CE,0.0
5th century,by the 5th century,2.0
1814,francis scott key,1.0
1814,1931,1.0
1814,rabindranath tagore,1.0
six,seven,0.0
"July 26, 2016",2018,0.0
"July 26, 2016","April 21, 2018",0.0
"July 26, 2016","september 19, 2016",0.0
"July 26, 2016","February 18, 2013",0.0
"July 26, 2016","June 23, 2018",0.0
controlling interest,89.5%,0.0
controlling interest,$ 32. 5 million,0.0
controlling interest,0,0.0
controlling interest,100,0.0
controlling interest,a minority stake,0.0
controlling interest,largely owned,2.0
East England,english folklore,0.0
East England,irish immigrants,0.0
East England,Reverend John Russell,0.0
East England,irish legend of stingy jack,2.0
East England,Stingy Jack,2.0
East England,Irish legend,2.0
East England,Ireland,2.0
Leto,Joywave,0.0
Leto,jared leto,2.0
Toby Damon,jack pearson,0.0
Toby Damon,Chris Sullivan,0.0
Toby Damon,Kevin,0.0
Toby Damon,Casey Hooper,0.0
Toby Damon,Kevin Pearson,0.0
Toby Damon,bradley whitford,0.0
"Five Keys, New Mexico",Georgia,0.0
"Five Keys, New Mexico",the United Kingdom,0.0
Rose McIver,Stanley Tucci,0.0
engraving,drypoint,0.0
engraving,Intaglio,0.0
engraving,gravure,0.0
engraving,aquatint,0.0
engraving,engraved,2.0
"January 2, 2016",2017,0.0
"January 2, 2016",2018,0.0
"January 2, 2016",2012,1.0
"January 2, 2016",2016,1.0
Marlow in Buckinghamshire,"Vancouver, British Columbia",0.0
Marlow in Buckinghamshire,bray studios,2.0
Marlow in Buckinghamshire,Bisham in East Berkshire,2.0
Marlow in Buckinghamshire,Berkshire,2.0
Marlow in Buckinghamshire,"bray studios at water oakley, near windsor in berkshire",2.0
Marlow in Buckinghamshire,Water Oakley,2.0
Marlow in Buckinghamshire,Oakley Court,2.0
Lena Horne,Thelma Carpenter,0.0
Lena Horne,Catherine Disher,0.0
life,animal,0.0
life,Cenozoic,0.0
life,Paleozoic,0.0
life,old life,1.0
Boston Red Sox,los angeles dodgers,0.0
Boston Red Sox,Dodgers,0.0
"Somebody, presumably Thespis",aeschylus,0.0
"Somebody, presumably Thespis",ancient greece,0.0
"Somebody, presumably Thespis",John Mitchell,0.0
"Somebody, presumably Thespis",Thespis,2.0
1664,pondicherry,0.0
1664,Pondich\u00e9ry,0.0
1664,chandernagore,0.0
1664,the East Indies,0.0
1664,Surat,2.0
shoulder blade,humerus,0.0
shoulder blade,femur,0.0
shoulder blade,scapula,2.0
a designated junior senator,vice president,1.0
a designated junior senator,President,1.0
Martha Graham,Kelly Clarkson,0.0
Martha Graham,Isadora Duncan,1.0
Martha Graham,Dai Ailian,1.0
a gender-neutral honorific,my dear,0.0
a gender-neutral honorific,sita ram ji,0.0
a gender-neutral honorific,freedom or liberty,0.0
a gender-neutral honorific,Sh\u00f4rot,0.0
a gender-neutral honorific,respect,1.0
a gender-neutral honorific,honorific,2.0
Nyle DiMarco,shannon elizabeth,0.0
Nyle DiMarco,gerrard gosens,0.0
Nyle DiMarco,Jennie Finch Daigle,0.0
Ashtavakra,arjuna,0.0
Ashtavakra,Yama,0.0
Ashtavakra,Bhishma,0.0
Ashtavakra,Yay\u0101ti,0.0
Ashtavakra,Parashurama,0.0
Ashtavakra,Duryodhana,0.0
Ashtavakra,apsara,0.0
Ashtavakra,Abhimanyu,0.0
Ashtavakra,Samvarana,0.0
Ashtavakra,Krishna,0.0
Bachman–Turner Overdrive,Lisa Marie Presley,0.0
Bachman–Turner Overdrive,the blues magoos,0.0
Bachman–Turner Overdrive,Poison,0.0
Bachman–Turner Overdrive,Bachman\\u2013Turner Overdrive,0.0
Bachman–Turner Overdrive,bachman -- turner overdrive,2.0
Bachman–Turner Overdrive,Randy Bachman,2.0
Raymond Wallace Bolger,Ray Bolger,2.0
Raymond Wallace Bolger,ray bolger raymond wallace bolger,2.0
Surendra Pal,samaresh basu,0.0
Surendra Pal,Dulquer Salmaan,0.0
Surendra Pal,mukesh khanna,2.0
Star World India,a Disney Channel India,0.0
Star World India,Star One,2.0
"September 27, 2018","september 28, 2017",1.0
1995,2011,0.0
Indira Gandhi,Morarji Desai,0.0
Indira Gandhi,jawahar lal nehru,0.0
Indira Gandhi,Jawaharlal Nehru,0.0
55 calories,55,0.0
55 calories,355 calories,0.0
55 calories,375,0.0
55 calories,450,0.0
55 calories,carbohydrate,0.0
55 calories,22,0.0
55 calories,13961316,0.0
55 calories,34 calories,2.0
the spirit of perverseness,fiend,0.0
the spirit of perverseness,The Imp of the Perverse,0.0
the spirit of perverseness,irritation,0.0
the spirit of perverseness,the impression of pluto,0.0
the spirit of perverseness,nervousness,0.0
the spirit of perverseness,Necromancer,0.0
the spirit of perverseness,the spirit,1.0
the spirit of perverseness,alcoholism,2.0
"2,300,000,000",1.6 billion,0.0
"2,300,000,000",800 to 1000 million,0.0
"2,300,000,000",1.2 billion,0.0
"2,300,000,000","8, 615, 245",0.0
"2,300,000,000",three billion,0.0
"2,300,000,000",6 billion,0.0
"2,300,000,000",16643120,0.0
2005,"february 5, 2006",0.0
2005,2016,0.0
2005,1988,0.0
2005,2015,1.0
036,123,0.0
036,10600,0.0
036,94,0.0
036,838,0.0
036,ilankai,0.0
036,672,0.0
036,Colombo,0.0
036,6762033,0.0
a state run mental hospital,state men's prison,0.0
a state run mental hospital,"Trenton, New Jersey",0.0
a state run mental hospital,the New Jersey State Lunatic Asylum,0.0
town,city,0.0
town,metatheatrical,0.0
town,Midwestern,0.0
town,mining town,0.0
town,rural,1.0
town,agricultural,2.0
town,agricultural region,2.0
town,a market and road center,2.0
"September 24, 2018",2018,2.0
972,981,1.0
972,about 900,1.0
972,981 different manuscripts,1.0
the company Faro Automated Solutions,guerrilla games,0.0
the company Faro Automated Solutions,Isaac Asimov,0.0
the company Faro Automated Solutions,Faro Automated Solutions,1.0
the company Faro Automated Solutions,GAIA,1.0
2018,2015,0.0
2018,2017,0.0
2018,2016,0.0
2018,"april 4, 2017",0.0
Isaac Liev Schreiber,josh robert thompson,0.0
Isaac Liev Schreiber,brad williams,0.0
Isaac Liev Schreiber,Kiefer Sutherland,0.0
Isaac Liev Schreiber,Kiefer William Frederick Dempsey George Rufus Sutherland,0.0
Isaac Liev Schreiber,Chris Rock,0.0
Isaac Liev Schreiber,Larry Wilmore,0.0
Isaac Liev Schreiber,Orlando Jones,0.0
Isaac Liev Schreiber,Liev Schreiber,2.0
the legislature,the proprietor,0.0
the legislature,The legislative body,1.0
the legislature,the General Court,1.0
the legislature,Parliament,1.0
the legislature,elected rulers,1.0
the legislature,congress,1.0
the Portuguese,henry the navigator,0.0
the Portuguese,Christopher Columbus,0.0
the Portuguese,Portugal,2.0
Frank Sinatra,josh groban,0.0
Frank Sinatra,Haven Gillespie,0.0
Frank Sinatra,Eddie Deezen,0.0
Frank Sinatra,Tom Hanks,0.0
Frank Sinatra,bing crosby,0.0
Frank Sinatra,the Kringle family,0.0
the Middle East,the Atlas Mountains,0.0
the Middle East,Central Asia,0.0
the Middle East,South Asia,0.0
the Middle East,sahel,1.0
the Middle East,the Isthmus of Suez,1.0
the Middle East,Asia,1.0
the Middle East,desert,1.0
"November 20, 2018","october 27, 2018",0.0
"November 20, 2018","February 10, 2017",0.0
Nicki Minaj,Ty Dolla Sign,0.0
Nicki Minaj,Rihanna,0.0
Nicki Minaj,Danielle Balbuena,0.0
Max,Ziggy,0.0
Max,madeline,0.0
Max,Adam Scott,0.0
Max,Perry,0.0
1,6,0.0
1,5,0.0
1,twice,0.0
1,27,0.0
1,four,0.0
20 July 1969,13 September 1959,0.0
20 July 1969,july 1969,2.0
20 July 1969,"July 20, 1969",2.0
2008,2013,0.0
2008,2018,0.0
2008,2017,0.0
2008,2017\u201318,0.0
the 1980s,mid - 1990s,0.0
the 1980s,1933,0.0
the 1980s,1994,0.0
the 1980s,1980,1.0
the 1980s,During the 1980s,2.0
1989,20th July 2018,0.0
1989,"January 12, 2018",0.0
1989,Thomas & Friends,0.0
1989,20 July 2018,0.0
1989,2018,2.0
the Union Government,the state legislature,1.0
the Union Government,the President,1.0
the Union Government,central and state government,2.0
the Union Government,both the central and state government,2.0
Shagun Pandey,saif ali khan,0.0
Shagun Pandey,Sushant Singh Rajput,0.0
Shagun Pandey,Vikram Singh Chauhan,0.0
Shagun Pandey,kriti sanon,0.0
Shagun Pandey,Shivangi Joshi,0.0
Shagun Pandey,Poorva Gokhale,0.0
the spirit world,Edward James Olmos,0.0
the spirit world,Rosie Perez,0.0
the spirit world,Miguel,0.0
the spirit world,Hern\u00e1n Cort\u00e9s,0.0
best-of-seven,best - of - seven,0.0
best-of-seven,four - of - seven - games,0.0
Article 37,part iv,0.0
Article 37,Article 41,0.0
Article 37,Article 356,0.0
Article 37,43A,0.0
Team LeBron,Stephen Curry,0.0
Team LeBron,LeBron James,2.0
Nate Corddry,joel johnstone,0.0
Nate Corddry,tony shalhoub,0.0
Nate Corddry,kevin pollak,0.0
Nate Corddry,Max Casella,0.0
Nate Corddry,Eltony Williams,0.0
several victims,marlena evans,0.0
several victims,Lizzie,0.0
several victims,Chad,0.0
several victims,Will,1.0
several victims,serena mason,2.0
several victims,Will Horton,2.0
Boston Celtics,los angeles lakers,0.0
Boston Celtics,Chicago Bulls,0.0
Boston Celtics,Cleveland Cavaliers,0.0
M Lamar,laverne cox,2.0
the steering mechanism,axle ends,0.0
the steering mechanism,the bed,0.0
the steering mechanism,suspension,0.0
the steering mechanism,loading bay,0.0
the steering mechanism,the United States,0.0
the steering mechanism,ten,0.0
1 December 2018,early 2018,0.0
1 December 2018,26 October 2017,0.0
1 December 2018,2018,0.0
1 December 2018,"April 27, 2018",0.0
1 December 2018,"november 11, 2017",0.0
1 December 2018,19 October 2015,0.0
1 December 2018,TBA,0.0
1 December 2018,"August 1, 2017",0.0
Numbers 22:28,Numbers 22:22,0.0
Numbers 22:28,genesis 30 : 43,0.0
Numbers 22:28,Numbers 22\u201324,0.0
Numbers 22:28,numbers 22 : 28,2.0
Numbers 22:28,Book of Numbers,2.0
"January 9, 2018","november 6, 2018",0.0
"January 9, 2018","May 1, 2018",1.0
The Monuments Men,Rescuing Da Vinci,0.0
The Monuments Men,belle epoque,0.0
The Monuments Men,"\""Saving Private Ryan\""",0.0
The Monuments Men,New York City,0.0
2016,2014,0.0
2016,"february 5, 2017",0.0
2016,2015,1.0
2016,2017,1.0
María Conchita Alonso,Lupe Ontiveros,0.0
María Conchita Alonso,melinda page hamilton,0.0
María Conchita Alonso,Lesley Ann Warren,0.0
María Conchita Alonso,mar\u00eda conchita,2.0
María Conchita Alonso,Maria Conchita Alonso,2.0
María Conchita Alonso,Mara Conchita Alonso,2.0
Jerry Reed Hubbard,jackie gleason,0.0
Jerry Reed Hubbard,jerry reed,2.0
Jerry Reed Hubbard,Burt Reynolds,2.0
for all penalties,delay of game,0.0
for all penalties,2020,0.0
for all penalties,first stoppage of play,1.0
for all penalties,one minute,1.0
for all penalties,for a set number of minutes,2.0
for all penalties,an infringement of the rules,2.0
for all penalties,penalty,2.0
orchids of the genus Vanilla,vanillin,0.0
orchids of the genus Vanilla,the seed pods,0.0
orchids of the genus Vanilla,as it dries,0.0
orchids of the genus Vanilla,the seeds,0.0
orchids of the genus Vanilla,orchids,1.0
amino acid,nucleic acids,0.0
amino acid,Plant hormones,0.0
amino acid,Vitamin C,0.0
amino acid,amino acids,2.0
"Plymouth, Massachusetts","Provincetown, Massachusetts",0.0
"Plymouth, Massachusetts",Provincetown Harbor,0.0
"Plymouth, Massachusetts",Plymouth Colony,0.0
"Plymouth, Massachusetts","plymouth, england",0.0
"Plymouth, Massachusetts",Colony of Virginia,0.0
"Plymouth, Massachusetts",plymouth rock,1.0
"Plymouth, Massachusetts",Cape Cod,1.0
"January 1, 2019","March 30, 2018",1.0
"January 1, 2019",early 2019,2.0
14,two,0.0
14,fourteen,2.0
the British government,Pakistan,0.0
the British government,sir cyril radcliffe,1.0
the British government,parliament of the united kingdom,1.0
the British government,Indian Independence Act 1947,1.0
the British government,the labour government,1.0
2018,1991,0.0
2018,2008,0.0
2018,2007,0.0
2018,2016,0.0
2018,1998,0.0
2018,2017,0.0
"December 6, 2001","March 31, 1949",0.0
"December 6, 2001",1809,0.0
"December 6, 2001",2001,2.0
1.8 billion,around 1. 8 billion,1.0
1.8 billion,24%,1.0
1.8 billion,around 1.8 billion,2.0
DC Universe,Cartoon Network,0.0
DC Universe,CBS,0.0
Annie Campbell,charity fernbrook,0.0
Annie Campbell,Karen Boddington,0.0
"October 12, 2018",2018,1.0
The FCC,"uly 2, 1928,",0.0
The FCC,federal communications commission,1.0
The FCC,their governments,1.0
The FCC,PPL,1.0
algae,karenia brevis,0.0
algae,dinoflagellates and diatoms,0.0
algae,dinoflagellate,1.0
algae,dinoflagellates,2.0
Jim Cummings,Keith David,0.0
after the year 2001,1931,0.0
after the year 2001,the end of WWII,0.0
after the year 2001,2009,0.0
after the year 2001,"March 3, 1931",0.0
All 14 districts,south kerala,1.0
All 14 districts,south Indian state,1.0
All 14 districts,Chengannur,1.0
All 14 districts,south,1.0
All 14 districts,the south indian state of kerala,1.0
All 14 districts,Palakkad,1.0
All 14 districts,Thiruvananthapuram,1.0
"January 3, 2019","february 22, 2019",0.0
"January 3, 2019","March 1, 2019",0.0
"January 3, 2019",2019,2.0
2017,"January 3, 2018",0.0
2017,2010,0.0
2017,1975,0.0
2017,1988,0.0
1950,1982,0.0
1950,between 1986 and 1995,0.0
1950,1998,0.0
1950,1922,0.0
Stephen Perry,sean combs,0.0
Stephen Perry,Justin Martin,0.0
Stephen Perry,Richard Parnell Habersham,0.0
Stephen Perry,Sidney Poitier,0.0
Stephen Perry,Ralph Carter,0.0
2010,2007 model year,0.0
2010,2009,0.0
2010,1980,0.0
2010,2007,0.0
2010,2012,1.0
EMI Studios,Beatles,0.0
EMI Studios,the Ed Sullivan Show,0.0
EMI Studios,october 1963,1.0
EMI Studios,EMI Studios in Studio 2,1.0
EMI Studios,Abbey Road Studios,1.0
size,alkaline phosphatase,0.0
size,parasites,0.0
size,horizontal gene transfer,0.0
size,antibiotic resistance,0.0
size,a lectin,0.0
size,amino acid sequences,0.0
size,serotype,0.0
size,Chemotaxis,0.0
size,Entamoeba,0.0
Kris Kristofferson,bradley cooper,0.0
Brian Keith,Dennis Quaid,1.0
Brian Keith,Tom Skerritt,1.0
26 November 1962,september 1729,0.0
26 November 1962,1729,0.0
26 November 1962,29 september 1729,0.0
26 November 1962,1951\u201352,0.0
26 November 1962,1832,0.0
New England Patriots,Kansas City Chiefs,0.0
"22,970","about 1, 700",0.0
"22,970",five,0.0
"22,970",one,0.0
"22,970",63467,0.0
"22,970","approximately 10,840",1.0
"22,970","approximately 8,000",1.0
Roger Labon Jackson,Mike Vaughn,0.0
Roger Labon Jackson,Stu Macher,0.0
Roger Labon Jackson,Charles Butler,0.0
Roger Labon Jackson,roger l. jackson,2.0
Navy,Army,1.0
Navy,united states navy,1.0
"""Formality""",season 8,0.0
"""Formality""",Teen Wolf,0.0
"""Formality""",season 6,0.0
"""Formality""",sixth season,0.0
"""Formality""",eighth,0.0
"""Formality""",season 2,0.0
"""Formality""","\""Code Breaker\""",0.0
Jeff Harlan,john gallagher jr.,0.0
Jeff Harlan,Jennifer Garner,0.0
Jeff Harlan,tyson ritter,0.0
Missy Peregrym,marsha lisa thomason,0.0
Missy Peregrym,Daniela Sofia Korn Ruah,0.0
Missy Peregrym,Margaret Denise Quigley,0.0
Missy Peregrym,Annie Wersching,0.0
Missy Peregrym,connie nielsen,1.0
Missy Peregrym,jeremy sisto,1.0
Missy Peregrym,Zeeko Zaki,1.0
1937,"april 20, 1937",0.0
French Algeria,cyprus,0.0
French Algeria,Croatia,0.0
French Algeria,united kingdom,2.0
French Algeria,the UK,2.0
"January 17, 2019","may 19, 2018",0.0
"January 17, 2019","March 15, 2018",0.0
"January 17, 2019",2018,0.0
"January 17, 2019","April 20, 2018",0.0
"January 17, 2019","September 27, 2018",0.0
"January 17, 2019","may 17, 2018",0.0
"January 17, 2019","May 19, 2016",0.0
1992,1999,0.0
1992,2007,0.0
"Vancouver, British Columbia",Netflix,0.0
"Vancouver, British Columbia",Glen Cove,0.0
"Vancouver, British Columbia","british columbia, canada",2.0
Governor,president,0.0
Governor,Congress,0.0
Governor,the World Health Organization,0.0
Governor,governor ralph torres,1.0
Governor,the governor of the state,2.0
Governor,state governor,2.0
Pratap Nagar Metro Station,rabindra sarobar,0.0
Pratap Nagar Metro Station,Partap Nagar,0.0
Pratap Nagar Metro Station,Dilshad Garden,0.0
Pratap Nagar Metro Station,Old Delhi Railway Station,0.0
Pratap Nagar Metro Station,New Delhi,0.0
Pratap Nagar Metro Station,netaji bhawan station,0.0
Pratap Nagar Metro Station,City Railway Station,0.0
Pratap Nagar Metro Station,Agra district,0.0
Eddie Rickenbacker,Edward Vernon Rickenbacker,2.0
Bemis Heights,"albany, new york",0.0
Bemis Heights,"Stillwater, Saratoga County, New York",1.0
Bemis Heights,"Schuylerville, New York",1.0
Bemis Heights,"south of saratoga, new york",2.0
Bemis Heights,New York,2.0
Bemis Heights,"Saratoga, New York",2.0
17,22,0.0
Laura,Sara Crowe,0.0
Laura,John Hannah,0.0
Laura,Tom,0.0
Laura,Angus and Laura,1.0
"May 24, 2010","June 26, 2011",0.0
OWN,Channel 210,0.0
OWN,Channel 115,0.0
OWN,8,0.0
OWN,nbc,0.0
OWN,Channel 265,0.0
OWN,Channel 363,0.0
OWN,Oprah Winfrey Network,2.0
Syria,Venezuela,0.0
Syria,Libya,0.0
Syria,saudi arabia,1.0
powerful local supporter,parish constables,0.0
powerful local supporter,law lords,0.0
powerful local supporter,a higher lord,0.0
powerful local supporter,a lord,1.0
powerful local supporter,Lord of the Manor,1.0
None,1982,0.0
None,1981,0.0
David Bowie,paul young,0.0
David Bowie,Chris Martin,1.0
SVR RF,Foreign Intelligence Service,0.0
SVR RF,Foreign Intelligence Service of the Russian Federation,0.0
SVR RF,FSB,0.0
SVR RF,novichok,0.0
SVR RF,MI6,0.0
SVR RF,Mossad,0.0
SVR RF,svr,2.0
the Twenty-sixth Amendment,Congress,0.0
the Twenty-sixth Amendment,the voting rights act,1.0
the Twenty-sixth Amendment,The Twenty - sixth Amendment,2.0
the Twenty-sixth Amendment,Voting Rights Act of 1965,2.0
3,third season,0.0
3,5,0.0
3,ten,0.0
Schlieffen Plan,The Anaconda Plan,0.0
Schlieffen Plan,"a \""Labour Plan\""",0.0
non-judicial punishment,discrimination,0.0
non-judicial punishment,military personnel,0.0
non-judicial punishment,violation of the UCMJ,0.0
non-judicial punishment,conscientious objectors,0.0
non-judicial punishment,Articles,0.0
non-judicial punishment,Army,0.0
egg,Jesus,0.0
egg,Tsar Alexander III,0.0
egg,Chicken or the egg,1.0
egg,hen,1.0
Natalie Dormer,michelle fairley,0.0
Natalie Dormer,Emilia Isabelle Euphemia Rose Clarke,0.0
Natalie Dormer,Samantha Spiro,0.0
Natalie Dormer,lena headey,0.0
Natalie Dormer,Essie Davis,0.0
Natalie Dormer,Dormer,1.0
Miguel Hidalgo y Costilla,John Brown Bell,0.0
Miguel Hidalgo y Costilla,Dutty Boukman,0.0
Miguel Hidalgo y Costilla,John Brown,0.0
Miguel Hidalgo y Costilla,andrew mcnair,0.0
Miguel Hidalgo y Costilla,Wat Tyler,0.0
Miguel Hidalgo y Costilla,Ong Keo,0.0
Karen Trust Grassle,Rachel Lindsay Rene Bush,0.0
Pat Sajak,Jim Thornton,0.0
Pat Sajak,Chuck Woolery,1.0
Pat Sajak,Vanna White,2.0
1540s,18,0.0
1540s,the 16th century,1.0
1540s,1548,1.0
1540s,31 October 1548,1.0
1540s,the 1520s,1.0
1540s,1521,1.0
Paul O'Keefe,Charles Herbert,0.0
Paul O'Keefe,Julie Deborah Kavner,0.0
organ,epithelial tissues,1.0
organ,"a muscular, hollow organ",2.0
"""Counterfeit""",shiganshina,0.0
"""Counterfeit""","May 9, 2016",0.0
"""Counterfeit""",Ilse's Notebook,0.0
"""Counterfeit""","July 9, 2016",0.0
"""Counterfeit""",25,0.0
"""Counterfeit""",ground's counterattack,0.0
"""Counterfeit""",Mikasa,0.0
"""Counterfeit""",the 50th issue of 2016,0.0
"""Counterfeit""",Japan,0.0
1909,1907 through 1908,0.0
1909,rural England,0.0
1909,1907,0.0
1909,Florida,0.0
1909,1968,0.0
Kailash Satyarthi,mother teresa,0.0
Kailash Satyarthi,Amartya Sen,0.0
Kailash Satyarthi,Manjul Bhargava,0.0
Kailash Satyarthi,A.P.J. Abdul Kalam,0.0
Kailash Satyarthi,Subhash Khot,0.0
Kailash Satyarthi,Rabindranath Tagore,0.0
Kailash Satyarthi,Sachin Tendulkar,0.0
The Federalists,Congress,0.0
The Federalists,the Whigs,0.0
The Federalists,the federalist party,2.0
2018,September 2017,0.0
2018,"August 30, 2017",0.0
2018,September 10\u201311,0.0
2018,1852,0.0
2018,2005,1.0
2018,1995,1.0
a T-bone,t - bone steak,0.0
a T-bone,Steak,0.0
a T-bone,round steak,1.0
a T-bone,beefsteak,1.0
southern and east coasts,around the year 410,0.0
southern and east coasts,the 5th century,0.0
southern and east coasts,England,1.0
southern and east coasts,Great Britain,2.0
King James I of England,King Charles II,0.0
King James I of England,the continental congress,0.0
King James I of England,Britain,0.0
Drug Enforcement,vowels,0.0
Drug Enforcement,Area Number,0.0
Drug Enforcement,Belgium,0.0
Drug Enforcement,registrant type,1.0
"Houston, Texas",vanderbilt stadium,0.0
"Houston, Texas",Dudley Field,0.0
"Houston, Texas",Texas Bowl,0.0
"Houston, Texas",bridgestone arena,0.0
"Houston, Texas",the United States,0.0
"Houston, Texas",McLane Stadium,0.0
Titan,ganymede,0.0
18 July 2000,"july 5, 2000",2.0
Henry VIII,edward vi,0.0
Henry VIII,George IV,0.0
Henry VIII,Henry,1.0
"January 8, 2019",2018,0.0
"January 8, 2019","November 6, 2018",0.0
"January 8, 2019",since 2 October 2017,0.0
"January 8, 2019",the second tuesday of the january,1.0
"January 8, 2019","January 11, 2011",1.0
each representing a Philippine province,unity,0.0
each representing a Philippine province,sovereignty,0.0
each representing a Philippine province,a Philippine province,2.0
each representing a Philippine province,eight provinces,2.0
Dalila Bela,Amybeth McNulty,0.0
Dalila Bela,Nicollette Sheridan,0.0
Dalila Bela,Lucas Jade Zumann,0.0
"Fortuna, North Dakota","august 21, 2017",0.0
